,date,name,DisplayUnit,mrp
277,2020-05-16 12:05:28,Hao Huan Luo Snail Rice Noodle,2 x 300G,9.0
278,2020-05-16 12:05:28,CP Frozen Ready Meal - Chicken Sausage Fried Rice,250g,3.9
279,2020-05-16 12:05:28,Double Elephant 100% Fragrant Sesame Oil,300ml,4.25
280,2020-05-16 12:05:28,Crispy Chocolatey Rice Cereal - Fun Pack,275g,4.0
281,2020-05-16 12:05:28,Kodomo Baby Bath Wash - Rice Milk,1L,7.5
282,2020-05-16 12:05:28,Johnson's Baby Bath Wash - Milk + Rice,1L,7.95
283,2020-05-16 12:05:28,Super NutreMill 4 in 1 Instant Cereal with Brown Rice,20 x 30g,3.9
284,2020-05-16 12:05:28,Ceres Organics Crispy Rice Clouds Cheezy Onion Charm,50g,4.8
285,2020-05-16 12:05:28,Johnson's Baby Bath Wash - Milk + Rice,2 x 1L,13.95
286,2020-05-16 12:05:28,Pureharvest Organic Rice Milk - Calcium ,1L,4.05
287,2020-05-16 12:05:28,Luo Ba Wang Snail Rice Noodle,280G,5.0
288,2020-05-16 12:05:28,Tesco Rice Cakes - Wholegrain,130g,5.65
289,2020-05-16 12:05:28,Kellogg's Cereal - Rice Krispies,130g,2.7
290,2020-05-16 12:05:28,GABA Genmai Mochi Mugi Barley Grain Mixed Brown Rice- Kirei,150G,4.35
291,2020-05-16 12:05:28,GABA Genmai Mochi Mugi Barley Grain Mixed Brown Rice Pack,150G,4.35
292,2020-05-16 12:05:28,LEEZEN Rice Cracker,280g,6.9
293,2020-05-16 12:05:28,Double A 100% Sesame Oil - Black & White,320ml,3.5
294,2020-05-16 12:05:28,Town Bus - Rice Kodubale,150g,1.7
295,2020-05-16 12:05:28,Kooksoondang Makgeolli Sparkling Rice Wine - Peach ,750ml,7.0
296,2020-05-16 12:05:28,Johnson's Baby Bath Wash Refill - Milk + Rice,600ml,4.95
297,2020-05-16 12:05:28,Gerber Organic Baby Cereal - Rice,227g,10.9
298,2020-05-16 12:05:28,Woh Hup Paste - Singapore Hainanese Chicken Rice,190g,4.15
299,2020-05-16 12:05:28,GABA Genmai Mochi Mugi Barley Grain Mixed Brown Rice Pack,150G,4.35
300,2020-05-16 12:05:28,LEEZEN Rice Cracker,280g,6.9
301,2020-05-16 12:05:28,Cowhead Block Butter - Salted,250g,5.4
302,2020-05-16 12:05:28,Woh Hup Dark Soya Sauce - Chicken Rice,640ml,4.9
303,2020-05-16 12:05:28,Ceres Organics Crispy Rice Clouds Sriracha Sass,50g,4.8
304,2020-05-16 12:05:28,Six Fortune Rice Stick Noodles,320g,3.95
305,2020-05-16 12:05:28,"Now Foods, Real Food, Organic, Sprouted Brown Rice",454 g,11.9
306,2020-05-16 12:05:28,Chan Kong Thye Black Sweet Rice Vinegar,750ml,5.2
307,2020-05-16 12:05:28,Prima Taste Sauce - Laksa Fried Rice,80g,1.95
308,2020-05-16 12:05:28,SunRice Brown Rice Chips - Wild Rice,156g,4.95
309,2020-05-16 12:05:28,Pagoda White Pepper Powder,25g,2.35
310,2020-05-16 12:05:28,Nature's Nutrition Organic Quinoa - Tricolour,500g,12.9
311,2020-05-16 12:05:28,LEEZEN Brown Rice Puff,300g,5.9
312,2020-05-16 12:05:28,CP Gourmet Ready Meal - Chicken Green Curry with Rice ,320g,5.5
313,2020-05-16 12:05:28,Maggi Instant Rice Porridge - Chicken,63g,1.7
314,2020-05-16 12:05:28,CP Gourmet Ready Meal - Teriyaki Chicken with Rice,320g,5.5
315,2020-05-16 12:05:28,Prima Taste Sauce Kit - Hainanese Chicken Rice,370g,7.9
316,2020-05-16 12:05:28,Norilicious Seaweed Snack - Black Rice & Sesame,16g,3.5
317,2020-05-16 12:05:28,KCT Soya Sauce - Dark (Chicken Rice),450ml,2.8
318,2020-05-16 12:05:28,Double Elephant 100% Fragrant Sesame Oil,300ml,4.25
319,2020-05-16 12:05:28,Golden Lion Brand - Thai Rice Vermicelli,400g,1.35
